episode,t,x,z,dz,phi,d_phi,d2_phi,psi,d_psi,d2_psi,torq_grav,torq_ai,torq_ai_knee
0,0.02000000000000001,1.1328430446155835e-05,0.0016213491326197982,0.14796097576618195,6.945792119950056e-05,0.009940668940544128,0.9072530269622803,3.665548501885496e-05,0.005237391218543053,0.4772471785545349,0.007748940494551899,3.05735445022583,0.5523973107337952
0,0.04000000000000003,8.105156302917749e-05,0.00567789189517498,0.2471654862165451,0.0004986245185136795,0.03505074232816696,1.5369821786880493,0.00027399396640248597,0.020046265795826912,0.9493419528007507,0.055441518584012084,5.491776466369629,1.0245505571365356
0,0.060000000000000046,0.00024734719772823155,0.011090354062616825,0.2892734110355377,0.0015327883884310722,0.06943268328905106,1.861738920211792,0.0009159964974969625,0.046157438308000565,1.5649529695510864,0.16919245382752696,7.30273962020874,1.4692240953445435
0,0.08000000000000006,0.000525705108884722,0.016693098470568657,0.2731902301311493,0.0032958132214844227,0.1069277822971344,1.8801766633987427,0.002221844159066677,0.08698365092277527,2.3582162857055664,0.3595971837866417,8.48469352722168,1.93307626247406
0,0.10000000000000007,0.0009083317127078772,0.021334033459424973,0.20102064311504364,0.005788962356746197,0.14147114753723145,1.6019625663757324,0.004521696362644434,0.1460426300764084,3.3123373985290527,0.6213246695534013,9.011712074279785,2.4600954055786133
0,0.12000000000000009,0.0013650727923959494,0.023939669132232666,0.07807465642690659,0.008895060047507286,0.16732215881347656,1.048393726348877,0.00820875819772482,0.22597095370292664,4.364222049713135,0.933748468006526,8.843924522399902,3.087383508682251
0,0.1400000000000001,0.0018458699341863394,0.023612400516867638,-0.084381103515625,0.012388307601213455,0.1794351488351822,0.2640919089317322,0.013709351420402527,0.32719168066978455,5.372528553009033,1.2626271938324303,7.953755855560303,3.832490921020508
0,0.16000000000000011,0.002285807393491268,0.019795726984739304,-0.2653252184391022,0.01595434360206127,0.1741316169500351,-0.6655915379524231,0.021419435739517212,0.4458845257759094,6.082665920257568,1.5635565176581716,6.373241424560547,4.6763834953308105
0,0.18000000000000013,0.002613895572721958,0.012469475157558918,-0.43417415022850037,0.019226163625717163,0.14997369050979614,-1.609955906867981,0.031599968671798706,0.5721513628959656,6.168821334838867,1.7879774852611896,4.243014335632324,5.559810161590576
0,0.20000000000000015,0.0027649113908410072,0.002229567151516676,-0.5604909062385559,0.02183539792895317,0.10830322653055191,-2.4251656532287598,0.04425600543618202,0.6906602382659912,5.412174224853516,1.8912765430539333,1.8124630451202393,6.412214756011963
0,0.22000000000000017,0.002690564841032028,-0.00987103208899498,-0.6273210048675537,0.02346615120768547,0.052896544337272644,-3.0069127082824707,0.05906544253230095,0.7849699258804321,3.8813388347625732,1.8404217377966887,-0.6267508864402771,7.1947102546691895
0,0.24000000000000019,0.0023656233679503202,-0.022634554654359818,-0.6345556378364563,0.023893943056464195,-0.011081045493483543,-3.3120226860046387,0.07541389763355255,0.8431611061096191,1.9118274450302124,1.6181530841954523,-2.8123719692230225,7.916040420532227
0,0.2600000000000002,0.0017880185041576624,-0.034972842782735825,-0.5915307402610779,0.023002784699201584,-0.07808465510606766,-3.3393678665161133,0.09252437949180603,0.8611641526222229,-0.07387132942676544,1.2230557937321755,-4.5377607345581055,8.617730140686035
0,0.2800000000000002,0.0009754829807206988,-0.04599606990814209,-0.508304238319397,0.02078663744032383,-0.14270633459091187,-3.1015310287475586,0.10961801558732986,0.8425973057746887,-1.7308014631271362,0.6672589413470805,-5.644491672515869,9.35171890258789
0,0.3000000000000002,-3.817904507741332e-05,-0.054974719882011414,-0.39126724004745483,0.017345266416668892,-0.1997712403535843,-2.6097912788391113,0.12604553997516632,0.7962950468063354,-2.8676400184631348,-0.02611462155717115,-6.013736248016357,10.162349700927734
0,0.32000000000000023,-0.0012055587721988559,-0.06126722693443298,-0.24351531267166138,0.012879649177193642,-0.24433791637420654,-1.8773980140686035,0.14135950803756714,0.7330694198608398,-3.4565072059631348,-0.8246353982777889,-5.581616401672363,11.07047176361084
0,0.34000000000000025,-0.002467009937390685,-0.06429290026426315,-0.06850244104862213,0.00768570089712739,-0.2719199061393738,-0.9364747405052185,0.1553230583667755,0.662722110748291,-3.6049087047576904,-1.6875024257202254,-4.380212306976318,12.059228897094727
