episode,t,x,z,dz,phi,d_phi,d2_phi,psi,d_psi,d2_psi,torq_grav,torq_ai,torq_ai_knee
0,0.02000000000000001,1.1328429237403808e-05,0.0016213488652141914,0.1479609114486044,6.945792126530879e-05,0.00994066883061431,0.9072527754162051,3.6655479687907275e-05,0.00523739144792624,0.4772473811776537,0.007748939949054762,3.057354145847141,0.5523973137737751
0,0.04000000000000003,8.105154472255064e-05,0.005677890731472209,0.24716551344550844,0.0004986244808280102,0.035050738598963176,1.5369820522939421,0.00027399401137617995,0.020046270865007015,0.9493418358735654,0.05544150378622074,5.491776662818866,1.0245506219414122
0,0.060000000000000046,0.0002473471574378321,0.011090353486490213,0.28927341613228125,0.0015327883875062675,0.06943268374796371,1.861739258824935,0.0009159965701228932,0.046157438367457365,1.5649525325947615,0.16919241994260442,7.302740180193046,1.469224044977613
0,0.08000000000000006,0.0005257049788415258,0.016693101077985013,0.27319030187829985,0.003295813736087401,0.10692780093399862,1.8801770521725427,0.002221844006551021,0.08698363294786679,2.358215333083567,0.35959709474627494,8.484694630010932,1.9330760036527717
0,0.10000000000000007,0.0009083317226300947,0.02133403972967708,0.20102064404638598,0.005788963504774054,0.1414711775578875,1.6019623564223926,0.004521694876583598,0.1460425919283213,3.312337965236396,0.6213246689200708,9.011712744683619,2.460095256259861
0,0.12000000000000009,0.0013650731526613019,0.023939679933272513,0.07807476246699163,0.008895062600038663,0.16732218035462817,1.0483940915430365,0.008208756596951139,0.2259709331297534,4.364219914864961,0.9337487122001582,8.843925289487034,3.08738281824124
0,0.1400000000000001,0.0018458704031891434,0.02361241291368374,-0.08438107551066756,0.012388312049580255,0.17943516295237794,0.26409214805173475,0.013709348546394584,0.3271916233569638,5.372528522809957,1.2626274474326094,7.953758009040642,3.832490434373837
0,0.16000000000000011,0.0022858078643998854,0.019795742200574794,-0.26532508097341995,0.0159543469247982,0.17413163797963027,-0.665591005503599,0.021419428195230256,0.44588451227017967,6.082664504715424,1.5635567385299698,6.373243873984409,4.676382852008013
0,0.18000000000000013,0.0026138958566401115,0.012469491458648093,-0.4341742845165673,0.01922616859096875,0.14997371758483152,-1.6099561802658688,0.03159996074996603,0.5721513328394262,6.16882422804566,1.7879777797025316,4.243016334397963,5.559810419828442
0,0.20000000000000015,0.002764912030736211,0.002229583877351813,-0.5604908663498326,0.021835402113791667,0.10830325379278537,-2.425165243914059,0.044255997904253,0.6906603981264522,5.412173971777173,1.8912769230452224,1.8124645945344229,6.412215130851287
0,0.22000000000000017,0.0026905661262834214,-0.009871017664200132,-0.6273210880192146,0.02346615556457716,0.052896557669351946,-3.0069128978718527,0.05906543317452855,0.7849700992259442,3.8813402320951855,1.8404224978108863,-0.6267507047802426,7.194710530202702
0,0.24000000000000019,0.0023656248929253814,-0.02263454827851596,-0.6345557267239904,0.02389395366080935,-0.011081049152225455,-3.3120236651163406,0.07541389403654646,0.8431613282838384,1.9118257567400347,1.6181542032163603,-2.812373188118565,7.916040832127684
0,0.2600000000000002,0.0017880202208727784,-0.034972843053188374,-0.5915308467499836,0.023002794242154432,-0.0780846945082375,-3.3393686179726365,0.0925243835640648,0.861164365523271,-0.07387462335831291,1.2230570330057373,-4.537762673249517,8.61773036182086
0,0.2800000000000002,0.0009754845224024893,-0.045996076398319985,-0.5083045230835018,0.0207866477400052,-0.14270641337605555,-3.1015327500271868,0.10961802431484008,0.8425975328742574,-1.7307996090231812,0.6672600219258177,-5.644494096928621,9.351720043224649
0,0.3000000000000002,-3.8177641726375026e-05,-0.054974725102938896,-0.3912672712889722,0.017345270508093362,-0.1997713170547743,-2.6097919135008643,0.12604555255909772,0.7962952891185207,-2.8676446792341794,-0.026113664238299684,-6.013739638167207,10.162350679721134
0,0.32000000000000023,-0.0012055575458466907,-0.06126722979227427,-0.24351505053529215,0.012879654845349139,-0.2443380093676758,-1.8773979322455434,0.1413595311443844,0.7330695920831121,-3.4565192776245435,-0.8246345707768294,-5.581620652558711,11.070470916594134
0,0.34000000000000025,-0.002467008782324107,-0.06429289955164186,-0.0685021292201091,0.007685706725217673,-0.2719199610665344,-0.936474651707695,0.1553230718022954,0.6627221654180442,-3.6049223298733923,-1.6875016447768365,-4.380217035157461,12.059226904086207
